Order,Sales_in_thousands,Vehicle_type,Order Date,dealership,color,Power_perf_factor,Fuel_efficiency,Fuel_capacity,Engine_size,Horsepower,Wheelbase,Width,Length,Price_in_lakhs
4100138,13.54,passenger,2022-11-17,"919, Los Angeles, CA, 90001",#20c283,97.03191,20.9,25,3.65,150,95.32,89.52,282.43,23.93L
4100139,14.92,car,2022-10-13,"72, Boston, MA, 02215",#bf99e5,146.43386,18.7,19,1.37,247,83.54,79.68,283.98,15.43L
4100143,16.55,passenger,2022-08-21,"451, Dallas, TX, 75001",#1b7ff9,82.07591,21.4,27,4.27,278,108.36,72.79,279.2,14.97L
4100145,10.07,passenger,2022-08-20,"584, Austin, TX, 73301",#158e04,72.91818,24.9,21,3.13,260,97.55,79.7,184.19,18.74L
4100149,9.18,passenger,2022-09-19,"338, Dallas, TX, 75001",#36fc12,112.8736,26.5,20,3.45,267,81.61,80.17,280.98,25.74L
4100150,15.72,passenger,2022-07-10,"136, Los Angeles, CA, 90001",#8a8954,66.29626,17.2,28,4.29,262,96.41,73.73,228.28,19.60L
4100154,10.93,passenger,2022-08-18,"661, Los Angeles, CA, 90001",#ab8571,65.99456,22.3,22,4.64,236,90.83,62.69,283.84,13.10L
4100156,7.33,passenger,2022-11-01,"718, New York City, NY, 10001",#7e0d9c,107.46706,25.9,16,4.33,206,106.05,85.42,165.99,15.89L
4100163,10.05,car,2022-07-12,"64, Dallas, TX, 75001",#faf554,62.44917,15.8,24,3.49,156,82.69,88.76,171.84,9.81L
4100164,3.78,passenger,2022-12-19,"797, San Francisco, CA, 94016",#37dca5,43.40837,18.3,25,5.48,170,105.63,74.41,251.41,11.62L
4100166,17.07,passenger,2022-11-28,"274, Los Angeles, CA, 90001",#d89012,181.4447,29.6,27,3.42,238,92.71,78.7,183.91,9.55L
4100169,13.86,passenger,2022-12-10,"977, New York City, NY, 10001",#cce79d,74.5277,24.4,25,3.44,161,98.11,89.12,260.07,7.62L
4100171,18.48,car,2022-12-13,"670, San Francisco, CA, 94016",#96ff18,37.86566,18.4,23,1.35,241,109.09,79.41,278.83,23.81L
4100172,17.07,passenger,2022-09-03,"571, Seattle, WA, 98101",#f532a9,86.30562,15.4,26,3.47,200,107.94,76.37,284.61,3.70L
4100174,15.84,passenger,2022-12-12,"179, Portland, OR, 97035",#6d27ce,187.2516,24.4,27,5.27,226,92.8,60.06,200.56,15.94L
4100175,7.57,passenger,2022-09-03,"812, Los Angeles, CA, 90001",#16418f,142.51501,16.4,24,2.53,276,100.46,80.17,255.25,20.49L
4100178,9.73,car,2022-11-23,"161, San Francisco, CA, 94016",#476fdf,178.06547,15.6,26,1.17,190,99.52,81.05,187.44,9.16L
4100182,9.50,car,2022-10-01,"46, San Francisco, CA, 94016",#aaa7aa,55.64113,27.2,22,3.35,166,83.98,86.48,256.1,28.71L
4100185,17.25,passenger,2022-12-11,"836, Portland, OR, 97035",#605a69,163.62856,16.2,17,3.7,242,90.46,78.92,246.54,29.08L
4100186,18.02,car,2022-09-03,"34, Atlanta, GA, 30301",#6bb4f9,182.77124,15.3,25,4.01,231,99.16,88.81,198.26,12.43L
4100187,11.40,car,2022-09-26,"135, New York City, NY, 10001",#1c9afe,94.94976,28.4,26,4.61,275,96.59,71.49,232.64,11.78L
4100190,14.70,passenger,2022-07-17,"51, San Francisco, CA, 94016",#b118b5,35.69732,25.5,21,1.19,205,96.81,84.54,174.66,6.52L
4100199,5.95,passenger,2022-10-11,"745, Atlanta, GA, 30301",#99e03a,103.38274,17.8,28,3.4,185,101.56,76.78,160.27,14.71L
4100208,19.23,passenger,2022-07-24,"533, Los Angeles, CA, 90001",#43e036,135.16601,23.1,20,3.21,251,85.6,62.08,204.96,23.72L
4100209,4.95,car,2022-07-20,"792, San Francisco, CA, 94016",#e54c8a,88.73857,29.0,25,5.41,168,89.36,78.56,260.14,29.96L
4100211,5.81,car,2022-08-01,"907, Portland, OR, 97035",#fba126,163.17685,23.6,16,3.02,222,92.54,82.7,179.84,27.89L
4100212,15.20,passenger,2022-07-08,"68, New York City, NY, 10001",#5dd98d,65.21297,19.0,25,4.94,219,98.48,83.37,264.75,9.74L
4100213,5.71,car,2022-12-26,"392, Seattle, WA, 98101",#c4ca2c,75.93674,29.0,24,2.6,160,90.48,84.6,179.63,17.92L
4100214,9.92,passenger,2022-10-13,"193, Atlanta, GA, 30301",#b0ccba,185.81202,25.8,17,3.17,225,82.4,71.79,298.0,11.81L
4100218,14.92,passenger,2022-10-04,"464, Atlanta, GA, 30301",#1d6da9,142.05838,25.1,20,5.34,200,80.39,82.45,163.1,12.88L
4100219,3.90,car,2022-12-12,"12, New York City, NY, 10001",#f5d1f4,82.58591,16.8,20,4.87,151,100.42,84.26,187.85,18.57L
4100221,10.63,passenger,2022-08-23,"820, New York City, NY, 10001",#ed4d11,49.81757,26.8,27,2.91,150,100.26,68.8,219.14,24.21L
4100222,17.14,car,2022-09-09,"699, Seattle, WA, 98101",#b2dc9f,185.68132,25.9,20,1.78,213,82.98,60.74,238.28,4.11L
4100223,12.88,car,2022-09-01,"880, Boston, MA, 02215",#904f02,135.71602,27.7,24,3.43,239,94.63,89.46,222.94,28.78L
4100225,4.08,car,2022-11-23,"226, Portland, OR, 97035",#a8df04,155.6105,21.1,16,3.72,193,108.43,66.33,166.04,4.53L
4100227,6.23,passenger,2022-12-12,"971, Seattle, WA, 98101",#e3aed5,114.29217,24.0,28,1.49,242,97.39,81.84,285.53,13.88L
4100228,7.33,car,2022-12-04,"67, Los Angeles, CA, 90001",#96b9e1,152.26648,24.4,25,3.29,198,82.0,88.87,229.82,16.66L
4100231,9.27,passenger,2022-12-22,"222, Portland, OR, 97035",#89e780,52.52071,23.1,16,3.68,237,88.98,79.02,202.31,25.13L
4100239,14.16,passenger,2022-07-02,"473, Dallas, TX, 75001",#b8aa69,161.37746,19.9,23,4.84,162,104.36,81.29,249.2,21.14L
4100241,5.91,passenger,2022-12-02,"762, San Francisco, CA, 94016",#fa2ed0,135.3326,19.4,25,3.96,215,104.52,88.51,287.37,19.05L
4100251,3.72,car,2022-09-03,"368, Portland, OR, 97035",#e77ea7,139.10405,15.6,17,3.13,190,86.74,61.3,242.53,25.30L
4100252,7.07,car,2022-08-19,"120, New York City, NY, 10001",#fda466,147.82966,22.0,23,3.23,249,80.91,88.39,186.48,9.74L
4100255,3.36,car,2022-07-07,"898, Los Angeles, CA, 90001",#a8b5ad,73.7448,15.9,26,1.52,241,88.08,69.33,235.72,21.52L
4100258,8.43,passenger,2022-08-17,"128, Los Angeles, CA, 90001",#97e56c,172.83034,16.3,26,2.72,164,96.38,79.87,260.65,5.54L
4100265,6.59,passenger,2022-10-12,"901, Seattle, WA, 98101",#984614,59.89148,16.5,28,3.73,180,83.39,86.33,192.58,6.07L
4100266,9.39,car,2022-08-26,"887, Boston, MA, 02215",#228629,141.17522,26.7,27,4.19,203,94.23,77.37,217.62,27.43L
4100268,11.55,passenger,2022-09-16,"195, San Francisco, CA, 94016",#cc2ea4,174.77158,18.2,19,4.96,152,94.29,63.19,181.49,25.65L
4100271,16.36,car,2022-09-24,"244, Boston, MA, 02215",#e96c2b,81.3731,29.5,26,2.03,193,105.45,77.45,197.0,16.54L
4100275,3.09,passenger,2022-07-26,"721, San Francisco, CA, 94016",#be752d,98.52788,26.9,15,2.81,167,106.26,60.61,291.67,20.71L
4100277,5.13,passenger,2022-10-22,"735, Los Angeles, CA, 90001",#6300b2,119.44378,26.5,26,1.61,196,105.02,65.83,248.41,25.04L
4100279,5.02,car,2022-08-13,"545, Portland, OR, 97035",#104f18,61.1908,23.2,17,1.18,262,84.32,66.88,265.81,13.91L
4100280,8.17,passenger,2022-09-02,"272, Seattle, WA, 98101",#21a772,185.766,21.0,21,3.78,175,103.26,87.17,191.76,29.58L
4100289,19.89,car,2022-07-13,"982, Atlanta, GA, 30301",#0f82bb,122.82538,29.5,27,2.56,258,82.07,78.4,164.15,5.79L
4100293,3.30,passenger,2022-09-02,"741, San Francisco, CA, 94016",#faf333,33.83029,28.9,18,1.17,217,93.79,72.95,286.34,29.56L
4100301,18.14,passenger,2022-09-14,"819, New York City, NY, 10001",#96bca7,183.30286,20.9,22,1.13,235,88.82,74.6,212.05,20.51L
4100303,5.47,car,2022-11-14,"254, Los Angeles, CA, 90001",#4e5673,169.4236,29.3,28,4.8,191,106.53,76.95,197.63,26.09L
4100307,18.01,car,2022-08-15,"58, Atlanta, GA, 30301",#48733e,146.55192,25.9,21,5.7,223,109.44,88.77,216.61,24.45L
4100312,6.28,car,2022-08-27,"906, New York City, NY, 10001",#0f11f3,84.71716,18.2,23,5.13,274,106.02,87.73,212.49,15.33L
4100314,11.59,passenger,2022-10-01,"709, Dallas, TX, 75001",#bf6540,54.53299,25.3,20,3.55,177,81.32,85.01,207.38,27.40L
4100315,13.84,car,2022-12-26,"277, Boston, MA, 02215",#0c230a,157.73633,27.9,16,5.13,166,88.84,68.31,216.63,23.34L
4100320,15.33,passenger,2022-10-18,"519, Los Angeles, CA, 90001",#f353e0,48.82237,25.5,27,2.17,214,85.65,85.77,165.93,6.69L
